U234,U235,U236,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
2.8251,2.679,2.4709,1.9948,1.8867,2.9152,2.746,2.793,2.5003,3.1204,2.8676,2.9911,2.2699,2.6717,2.2185,2.7336,3.0142,2.8711
2.9448,2.7509,2.5371,2.0562,1.9243,2.9416,2.8063,2.846,2.5557,3.1758,2.9161,3.0964,2.2706,2.7868,2.1592,2.8605,3.0247,2.8622
3.004,2.7848,2.5728,2.1026,1.9333,2.9537,2.8514,2.8716,2.5806,3.1939,2.9622,3.1378,2.2856,2.8505,2.1677,2.9136,3.0298,2.8556
3.0953,2.8364,2.646,2.1822,2.0224,2.9711,2.9284,2.9149,2.6372,3.2204,3.0397,3.1882,2.3171,2.9516,2.1806,2.992,3.038,2.8385
3.1144,2.878,2.7703,2.3114,2.2018,2.9953,2.9988,2.9863,2.7334,3.2619,3.0807,3.2615,2.364,3.0467,2.1992,3.0851,3.0507,2.803
3.0715,2.8951,2.8113,2.394,2.2846,3.0062,3.0064,3.0208,2.786,3.2819,3.1037,3.2997,2.4191,3.1082,2.2095,3.1111,3.0551,2.7891
3.0474,2.925,2.8507,2.4762,2.3527,3.014,3.0124,3.0461,2.8324,3.296,3.1192,3.3329,2.4917,3.1579,2.2178,3.1176,3.0585,2.7799
3.0454,2.9708,2.8937,2.5709,2.43,3.021,3.025,3.0679,2.8876,3.3078,3.1277,3.3597,2.5777,3.2039,2.2261,3.1116,3.0621,2.7721
3.0501,2.9964,2.9383,2.6613,2.5076,3.0284,3.0356,3.0868,2.9469,3.3174,3.1319,3.3717,2.6522,3.2502,2.2343,3.0907,3.0655,2.7702
3.0682,3.0202,2.9955,2.7689,2.6102,3.0373,3.0427,3.106,3.0136,3.3277,3.1373,3.3781,2.7327,3.2942,2.2449,3.0534,3.0699,2.7765
3.1254,3.0607,3.0634,2.9298,2.7876,3.0515,3.0578,3.1279,3.0911,3.347,3.138,3.3872,2.805,3.3212,2.2841,2.9899,3.0759,2.798
3.1503,3.0739,3.0806,2.9865,2.8808,3.0593,3.0677,3.1377,3.1164,3.3593,3.134,3.3977,2.8299,3.3105,2.3293,2.964,3.0792,2.8101
