U235,U236,U237,U239,Np238,Pu239,Pu240,Pu241,Pu242,Pu243,Am242,Am243
0.00050552,0.0018791,0.0013383,0.00075941,0.0005443,0.00043916,0.00049092,0.00064597,0.00041696,0.0011798,0.0017482,0.0025021
0.00062506,0.0019076,0.0013966,0.00084592,0.00062668,0.00050478,0.00057655,0.00073706,0.00047817,0.0012894,0.0017767,0.0025388
0.00067141,0.0019322,0.0014396,0.00087472,0.00066769,0.00053675,0.00061781,0.00078822,0.00050142,0.0013317,0.0017914,0.0025525
0.00073658,0.0019838,0.0015172,0.00098973,0.00074262,0.00059304,0.00068871,0.00087526,0.00056343,0.0013958,0.0018164,0.0025802
0.00080875,0.0020974,0.0016662,0.0012083,0.00088288,0.00068696,0.00081049,0.0010012,0.00067388,0.0014882,0.0018643,0.0026858
0.00084001,0.002165,0.0017512,0.0012934,0.00097519,0.00073138,0.00087838,0.0010727,0.00073181,0.0015318,0.0018949,0.002758
0.00086906,0.0022206,0.0018211,0.0013606,0.001052,0.00076077,0.00093583,0.0011373,0.0007817,0.0015651,0.0019187,0.0028179
0.00091551,0.0022816,0.0018935,0.0014282,0.001127,0.00078399,0.00099545,0.0012086,0.00084174,0.001598,0.0019405,0.0028795
0.0010424,0.0023471,0.0019669,0.0014963,0.0012029,0.00079789,0.0010482,0.0012853,0.00090071,0.0016305,0.0019656,0.0029416
0.0011936,0.0024306,0.0020596,0.0015928,0.0013037,0.00080749,0.0011165,0.0013917,0.0009598,0.0016711,0.0019935,0.0030248
0.0014188,0.0025572,0.0022013,0.0017374,0.0014488,0.00081455,0.0012321,0.0015744,0.0010321,0.0017324,0.002032,0.0031508
0.0015609,0.0026224,0.0022764,0.0018097,0.0015095,0.00081848,0.0012973,0.0016813,0.0010687,0.0017637,0.0020504,0.0032152
0.0017141,0.0027254,0.0023951,0.0018646,0.001576,0.00082277,0.0014074,0.0018611,0.0011145,0.0018104,0.002077,0.0033158
0.0019077,0.0028631,0.0025561,0.0018779,0.0016301,0.00081727,0.0015627,0.0021219,0.0011567,0.0018684,0.0021099,0.0034597
0.0020463,0.0029939,0.0027171,0.0018793,0.0016511,0.00080054,0.0017347,0.0024191,0.0011699,0.0019235,0.0021375,0.0036156
0.002031,0.0031169,0.002865,0.0018875,0.0016474,0.00078215,0.0019261,0.0027583,0.0011544,0.001976,0.0021539,0.0037833
0.0020507,0.0032314,0.0029903,0.0018747,0.001605,0.00076552,0.0021348,0.0031257,0.0011249,0.0021077,0.0021602,0.0039491
