U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
2.3603E-03	5.0552E-04	1.8791E-03	1.3383E-03	2.9329E-04	7.5941E-04	5.0719E-04	2.4338E-03	5.4430E-04	5.8325E-04	2.8211E-04	4.3916E-04	4.9092E-04	6.46E-04	4.17E-04	1.18E-03	4.07E-04	1.75E-03	2.50E-03
2.4073E-03	6.2506E-04	1.9076E-03	1.3966E-03	3.7510E-04	8.4592E-04	5.7675E-04	2.6485E-03	6.2668E-04	6.8060E-04	3.2823E-04	5.0478E-04	5.7655E-04	7.37E-04	4.78E-04	1.29E-03	4.68E-04	1.78E-03	2.54E-03
2.4416E-03	6.7141E-04	1.9322E-03	1.4396E-03	4.1967E-04	8.7472E-04	6.1110E-04	2.7290E-03	6.6769E-04	7.2379E-04	3.5221E-04	5.3675E-04	6.1781E-04	7.88E-04	5.01E-04	1.33E-03	4.98E-04	1.79E-03	2.55E-03
2.5145E-03	7.3658E-04	1.9838E-03	1.5172E-03	4.9586E-04	9.8973E-04	6.7237E-04	2.8893E-03	7.4262E-04	8.1842E-04	3.9711E-04	5.9304E-04	6.8871E-04	8.75E-04	5.63E-04	1.40E-03	5.53E-04	1.82E-03	2.58E-03
2.6605E-03	8.0875E-04	2.0974E-03	1.6662E-03	6.2968E-04	1.2083E-03	7.9687E-04	3.1390E-03	8.8288E-04	1.0007E-03	4.8372E-04	6.8696E-04	8.1049E-04	1.00E-03	6.74E-04	1.49E-03	6.48E-04	1.86E-03	2.69E-03
2.7459E-03	8.4001E-04	2.1650E-03	1.7512E-03	7.0563E-04	1.2934E-03	8.6786E-04	3.2594E-03	9.7519E-04	1.0995E-03	5.3767E-04	7.3138E-04	8.7838E-04	1.07E-03	7.32E-04	1.53E-03	6.95E-04	1.89E-03	2.76E-03
2.8168E-03	8.6906E-04	2.2206E-03	1.8211E-03	7.6501E-04	1.3606E-03	9.3046E-04	3.3370E-03	1.0520E-03	1.1759E-03	5.8537E-04	7.6077E-04	9.3583E-04	1.14E-03	7.82E-04	1.57E-03	7.27E-04	1.92E-03	2.82E-03
2.8915E-03	9.1551E-04	2.2816E-03	1.8935E-03	8.2106E-04	1.4282E-03	1.0031E-03	3.4732E-03	1.1270E-03	1.2512E-03	6.3766E-04	7.8399E-04	9.9545E-04	1.21E-03	8.42E-04	1.60E-03	7.53E-04	1.94E-03	2.88E-03
2.9703E-03	1.0424E-03	2.3471E-03	1.9669E-03	8.7643E-04	1.4963E-03	1.0719E-03	3.5541E-03	1.2029E-03	1.3187E-03	6.9679E-04	7.9789E-04	1.0482E-03	1.29E-03	9.01E-04	1.63E-03	7.67E-04	1.97E-03	2.94E-03
3.0757E-03	1.1936E-03	2.4306E-03	2.0596E-03	9.4001E-04	1.5928E-03	1.1678E-03	3.7525E-03	1.3037E-03	1.3994E-03	7.7531E-04	8.0749E-04	1.1165E-03	1.39E-03	9.60E-04	1.67E-03	7.72E-04	1.99E-03	3.02E-03
