Energy Group	Lower Boundary (eV)	Upper Boundary (eV)
1	1.7333E+07	1.9640E+07
2	1.6905E+07	1.7333E+07
3	1.6487E+07	1.6905E+07
4	1.5683E+07	1.6487E+07
5	1.4918E+07	1.5683E+07
6	1.4550E+07	1.4918E+07
7	1.4191E+07	1.4550E+07
8	1.3840E+07	1.4191E+07
9	1.3499E+07	1.3840E+07
10	1.2840E+07	1.3499E+07
11	1.2523E+07	1.2840E+07
12	1.2214E+07	1.2523E+07
13	1.1618E+07	1.2214E+07
14	1.1052E+07	1.1618E+07
15	1.0513E+07	1.1052E+07
16	1.0000E+07	1.0513E+07
17	9.5123E+06	1.0000E+07
18	9.0484E+06	9.5123E+06
19	8.6071E+06	9.0484E+06
20	8.1873E+06	8.6071E+06
21	7.7880E+06	8.1873E+06
22	7.4082E+06	7.7880E+06
23	7.0469E+06	7.4082E+06
24	6.7032E+06	7.0469E+06
25	6.5924E+06	6.7032E+06
26	6.3763E+06	6.5924E+06
27	6.0653E+06	6.3763E+06
28	5.7695E+06	6.0653E+06
29	5.4881E+06	5.7695E+06
30	5.2205E+06	5.4881E+06
31	4.9659E+06	5.2205E+06
32	4.7237E+06	4.9659E+06
33	4.4933E+06	4.7237E+06
34	4.0657E+06	4.4933E+06
35	3.6788E+06	4.0657E+06
36	3.3287E+06	3.6788E+06
37	3.1664E+06	3.3287E+06
38	3.0119E+06	3.1664E+06
39	2.8650E+06	3.0119E+06
40	2.7253E+06	2.8650E+06
41	2.5924E+06	2.7253E+06
42	2.4660E+06	2.5924E+06
43	2.3852E+06	2.4660E+06
44	2.3653E+06	2.3852E+06
45	2.3457E+06	2.3653E+06
46	2.3069E+06	2.3457E+06
47	2.2313E+06	2.3069E+06
48	2.1225E+06	2.2313E+06
49	2.0190E+06	2.1225E+06
50	1.9205E+06	2.0190E+06
51	1.8268E+06	1.9205E+06
52	1.7377E+06	1.8268E+06
53	1.6530E+06	1.7377E+06
54	1.5724E+06	1.6530E+06
55	1.4957E+06	1.5724E+06
56	1.4227E+06	1.4957E+06
57	1.3534E+06	1.4227E+06
58	1.2873E+06	1.3534E+06
59	1.2246E+06	1.2873E+06
60	1.1648E+06	1.2246E+06
61	1.1080E+06	1.1648E+06
62	1.0026E+06	1.1080E+06
63	9.6164E+05	1.0026E+06
64	9.0718E+05	9.6164E+05
65	8.6294E+05	9.0718E+05
66	8.2085E+05	8.6294E+05
67	7.8082E+05	8.2085E+05
68	7.4274E+05	7.8082E+05
69	7.0651E+05	7.4274E+05
70	6.7206E+05	7.0651E+05
71	6.3928E+05	6.7206E+05
72	6.0810E+05	6.3928E+05
73	5.7844E+05	6.0810E+05
74	5.5023E+05	5.7844E+05
75	5.2340E+05	5.5023E+05
76	4.9787E+05	5.2340E+05
77	4.5049E+05	4.9787E+05
78	4.0762E+05	4.5049E+05
79	3.8774E+05	4.0762E+05
80	3.6883E+05	3.8774E+05
81	3.3373E+05	3.6883E+05
82	3.0197E+05	3.3373E+05
83	2.9850E+05	3.0197E+05
84	2.9720E+05	2.9850E+05
85	2.9452E+05	2.9720E+05
86	2.8725E+05	2.9452E+05
87	2.7324E+05	2.8725E+05
88	2.4724E+05	2.7324E+05
89	2.3518E+05	2.4724E+05
90	2.2371E+05	2.3518E+05
91	2.1280E+05	2.2371E+05
92	2.0242E+05	2.1280E+05
93	1.9255E+05	2.0242E+05
94	1.8316E+05	1.9255E+05
95	1.7422E+05	1.8316E+05
96	1.6573E+05	1.7422E+05
97	1.5764E+05	1.6573E+05
98	1.4996E+05	1.5764E+05
99	1.4264E+05	1.4996E+05
100	1.3569E+05	1.4264E+05
101	1.2907E+05	1.3569E+05
102	1.2277E+05	1.2907E+05
103	1.1679E+05	1.2277E+05
104	1.1109E+05	1.1679E+05
105	9.8037E+04	1.1109E+05
106	8.6517E+04	9.8037E+04
107	8.2500E+04	8.6517E+04
108	7.9500E+04	8.2500E+04
109	7.2000E+04	7.9500E+04
110	6.7379E+04	7.2000E+04
111	5.6562E+04	6.7379E+04
112	5.2475E+04	5.6562E+04
113	4.6309E+04	5.2475E+04
114	4.0868E+04	4.6309E+04
115	3.4307E+04	4.0868E+04
116	3.1828E+04	3.4307E+04
117	2.8500E+04	3.1828E+04
118	2.7000E+04	2.8500E+04
119	2.6058E+04	2.7000E+04
120	2.4788E+04	2.6058E+04
121	2.4176E+04	2.4788E+04
122	2.3579E+04	2.4176E+04
123	2.1875E+04	2.3579E+04
124	1.9305E+04	2.1875E+04
125	1.5034E+04	1.9305E+04
126	1.1709E+04	1.5034E+04
127	1.0595E+04	1.1709E+04
128	9.1188E+03	1.0595E+04
129	7.1017E+03	9.1188E+03
130	5.5308E+03	7.1017E+03
131	4.3074E+03	5.5308E+03
132	3.7074E+03	4.3074E+03
133	3.3546E+03	3.7074E+03
134	3.0354E+03	3.3546E+03
135	2.7465E+03	3.0354E+03
136	2.6126E+03	2.7465E+03
137	2.4852E+03	2.6126E+03
138	2.2487E+03	2.4852E+03
139	2.0347E+03	2.2487E+03
140	1.5846E+03	2.0347E+03
141	1.2341E+03	1.5846E+03
142	9.6112E+02	1.2341E+03
143	7.4852E+02	9.6112E+02
144	5.8295E+02	7.4852E+02
145	4.5400E+02	5.8295E+02
146	3.5358E+02	4.5400E+02
147	2.7536E+02	3.5358E+02
148	2.1445E+02	2.7536E+02
149	1.6702E+02	2.1445E+02
150	1.3007E+02	1.6702E+02
151	1.0130E+02	1.3007E+02
152	7.8893E+01	1.0130E+02
153	6.1442E+01	7.8893E+01
154	4.7851E+01	6.1442E+01
155	3.7267E+01	4.7851E+01
156	2.9023E+01	3.7267E+01
157	2.2603E+01	2.9023E+01
158	1.7603E+01	2.2603E+01
159	1.3710E+01	1.7603E+01
160	1.0677E+01	1.3710E+01
161	8.3153E+00	1.0677E+01
162	6.4760E+00	8.3153E+00
163	5.0435E+00	6.4760E+00
164	3.9279E+00	5.0435E+00
165	3.0590E+00	3.9279E+00
166	2.3824E+00	3.0590E+00
167	1.8554E+00	2.3824E+00
168	1.4450E+00	1.8554E+00
169	1.1254E+00	1.4450E+00
170	8.7642E-01	1.1254E+00
171	6.8256E-01	8.7642E-01
172	5.3158E-01	6.8256E-01
173	4.1399E-01	5.3158E-01
174	1.0000E-01	4.1399E-01
175	1.0000E-05	1.0000E-01
