Time (d),Pu239
0.0,0.0
10.0,2512.650088978694
20.0,13146.66473874174
30.0,32365.099142111536
40.0,59768.35642844726
50.0,94931.04336609207
60.0,137440.30247054098
70.0,186897.10327358343
80.0,242919.2531314419
90.0,305136.51051801554
100.0,373190.8381280531
110.0,446738.36616136594
120.0,525447.8981047684
130.0,608999.6265757269
140.0,697084.5899459383
150.0,789406.3479859851
160.0,885678.670150732
170.0,985626.9734629916
180.0,3252984.576815866
190.0,3378998.7336461605
200.0,3505012.8904766925
210.0,3631027.04730749
220.0,3757041.2041385607
230.0,3883055.3609699095
240.0,5630624.673095455
250.0,5720408.339721482
260.0,5810320.359205865
270.0,5900272.414496997
280.0,5990169.861801116
290.0,6079923.848571495
300.0,6169451.313508444
310.0,6258663.849434028
320.0,6347453.165049056
330.0,6435768.127730075
340.0,6523540.68067514
350.0,6610707.780184661
360.0,6697211.395661406
370.0,6782981.007164372
380.0,6867941.247693442
390.0,6952051.8489567945
400.0,7035262.308937265
410.0,7117525.689064811
420.0,17190916.452075217
430.0,17430772.55230603
440.0,17670628.65253639
450.0,17910484.7527663
460.0,18150340.85299576
470.0,18390196.95322477
480.0,13422077.924804104
490.0,13351772.444003556
500.0,13282194.03814739
510.0,13213157.506906256
520.0,13144641.02348766
530.0,13076624.578294287
540.0,13009089.978923993
550.0,12942020.85016982
560.0,12875402.634019976
570.0,12809222.589657849
580.0,12743384.255540712
590.0,12677914.756675879
600.0,12612805.305064421
610.0,12548041.576700246
620.0,12483610.44471292
630.0,12419499.979367692
640.0,12355699.448065488
650.0,12292199.315342896
660.0,25992545.22334643
670.0,26200130.698132306
680.0,26407716.172917612
690.0,26615301.647702347
700.0,26822887.122486513
710.0,27030472.59727011
720.0,27238058.072053134
