U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
2.8251E+00	2.6790E+00	2.4709E+00	2.2876E+00	1.9948E+00	1.8867E+00	2.9152E+00	2.7460E+00	2.7930E+00	2.5003E+00	3.1204E+00	2.8676E+00	2.9911E+00	2.2699E+00	2.6717E+00	2.2185E+00	2.7336E+00	3.0142E+00	2.8711E+00
2.9448E+00	2.7509E+00	2.5371E+00	2.3969E+00	2.0562E+00	1.9243E+00	2.9416E+00	2.8063E+00	2.8460E+00	2.5557E+00	3.1758E+00	2.9161E+00	3.0964E+00	2.2706E+00	2.7868E+00	2.1592E+00	2.8605E+00	3.0247E+00	2.8622E+00
3.0040E+00	2.7848E+00	2.5728E+00	2.4424E+00	2.1026E+00	1.9333E+00	2.9537E+00	2.8514E+00	2.8716E+00	2.5806E+00	3.1939E+00	2.9622E+00	3.1378E+00	2.2856E+00	2.8505E+00	2.1677E+00	2.9136E+00	3.0298E+00	2.8556E+00
3.0953E+00	2.8364E+00	2.6460E+00	2.5168E+00	2.1822E+00	2.0224E+00	2.9711E+00	2.9284E+00	2.9149E+00	2.6372E+00	3.2204E+00	3.0397E+00	3.1882E+00	2.3171E+00	2.9516E+00	2.1806E+00	2.9920E+00	3.0380E+00	2.8385E+00
3.1144E+00	2.8780E+00	2.7703E+00	2.6435E+00	2.3114E+00	2.2018E+00	2.9953E+00	2.9988E+00	2.9863E+00	2.7334E+00	3.2619E+00	3.0807E+00	3.2615E+00	2.3640E+00	3.0467E+00	2.1992E+00	3.0851E+00	3.0507E+00	2.8030E+00
3.0715E+00	2.8951E+00	2.8113E+00	2.7139E+00	2.3940E+00	2.2846E+00	3.0062E+00	3.0064E+00	3.0208E+00	2.7860E+00	3.2819E+00	3.1037E+00	3.2997E+00	2.4191E+00	3.1082E+00	2.2095E+00	3.1111E+00	3.0551E+00	2.7891E+00
3.0474E+00	2.9250E+00	2.8507E+00	2.7729E+00	2.4762E+00	2.3527E+00	3.0140E+00	3.0124E+00	3.0461E+00	2.8324E+00	3.2960E+00	3.1192E+00	3.3329E+00	2.4917E+00	3.1579E+00	2.2178E+00	3.1176E+00	3.0585E+00	2.7799E+00
3.0454E+00	2.9708E+00	2.8937E+00	2.8281E+00	2.5709E+00	2.4300E+00	3.0210E+00	3.0250E+00	3.0679E+00	2.8876E+00	3.3078E+00	3.1277E+00	3.3597E+00	2.5777E+00	3.2039E+00	2.2261E+00	3.1116E+00	3.0621E+00	2.7721E+00
3.0501E+00	2.9964E+00	2.9383E+00	2.8440E+00	2.6613E+00	2.5076E+00	3.0284E+00	3.0356E+00	3.0868E+00	2.9469E+00	3.3174E+00	3.1319E+00	3.3717E+00	2.6522E+00	3.2502E+00	2.2343E+00	3.0907E+00	3.0655E+00	2.7702E+00
3.0682E+00	3.0202E+00	2.9955E+00	2.8744E+00	2.7689E+00	2.6102E+00	3.0373E+00	3.0427E+00	3.1060E+00	3.0136E+00	3.3277E+00	3.1373E+00	3.3781E+00	2.7327E+00	3.2942E+00	2.2449E+00	3.0534E+00	3.0699E+00	2.7765E+00
3.1254E+00	3.0607E+00	3.0634E+00	2.9509E+00	2.9298E+00	2.7876E+00	3.0515E+00	3.0578E+00	3.1279E+00	3.0911E+00	3.3470E+00	3.1380E+00	3.3872E+00	2.8050E+00	3.3212E+00	2.2841E+00	2.9899E+00	3.0759E+00	2.7980E+00
3.1503E+00	3.0739E+00	3.0806E+00	2.9873E+00	2.9865E+00	2.8808E+00	3.0593E+00	3.0677E+00	3.1377E+00	3.1164E+00	3.3593E+00	3.1340E+00	3.3977E+00	2.8299E+00	3.3105E+00	2.3293E+00	2.9640E+00	3.0792E+00	2.8101E+00
3.1642E+00	3.0656E+00	3.0871E+00	3.0323E+00	3.0368E+00	2.9920E+00	3.0709E+00	3.0761E+00	3.1517E+00	3.1354E+00	3.3817E+00	3.1378E+00	3.4162E+00	2.8551E+00	3.2842E+00	2.5475E+00	2.9443E+00	3.0847E+00	2.8279E+00
3.1625E+00	3.0844E+00	3.0902E+00	3.0610E+00	3.0801E+00	3.0705E+00	3.0866E+00	3.1073E+00	3.1707E+00	3.1542E+00	3.4147E+00	3.1794E+00	3.4534E+00	2.9027E+00	3.2996E+00	3.0679E+00	2.9513E+00	3.0918E+00	2.8491E+00
3.1610E+00	3.1141E+00	3.0996E+00	3.0811E+00	3.1017E+00	3.1117E+00	3.1014E+00	3.1402E+00	3.1886E+00	3.1714E+00	3.4488E+00	3.2171E+00	3.4752E+00	2.9532E+00	3.3136E+00	3.1203E+00	2.9537E+00	3.0998E+00	2.8720E+00
3.1799E+00	3.1226E+00	3.1180E+00	3.0990E+00	3.1211E+00	3.1442E+00	3.1160E+00	3.1461E+00	3.2064E+00	3.1885E+00	3.4807E+00	3.2294E+00	3.4791E+00	2.9879E+00	3.3327E+00	3.1550E+00	2.9497E+00	3.1089E+00	2.9020E+00
3.1719E+00	3.1219E+00	3.1412E+00	3.1079E+00	3.1398E+00	3.1694E+00	3.1276E+00	3.1506E+00	3.2209E+00	3.2024E+00	3.5072E+00	3.2420E+00	3.4798E+00	3.0296E+00	3.3541E+00	3.1740E+00	2.9537E+00	3.1183E+00	2.9364E+00
3.1343E+00	3.1139E+00	3.1679E+00	3.1171E+00	3.1559E+00	3.1869E+00	3.1385E+00	3.1620E+00	3.2345E+00	3.2155E+00	3.5306E+00	3.2558E+00	3.4993E+00	3.0617E+00	3.3740E+00	3.1801E+00	2.9452E+00	3.1271E+00	2.9726E+00
3.1189E+00	3.1092E+00	3.1842E+00	3.1272E+00	3.1677E+00	3.2117E+00	3.1465E+00	3.1834E+00	3.2445E+00	3.2249E+00	3.5433E+00	3.2694E+00	3.5414E+00	3.0927E+00	3.3907E+00	3.1860E+00	2.9381E+00	3.1362E+00	3.0079E+00
3.1188E+00	3.1059E+00	3.1968E+00	3.1383E+00	3.1792E+00	3.2460E+00	3.1498E+00	3.2216E+00	3.2487E+00	3.2286E+00	3.5390E+00	3.2845E+00	3.5842E+00	3.1180E+00	3.4071E+00	3.1855E+00	2.9481E+00	3.1443E+00	3.0453E+00
3.1039E+00	3.1047E+00	3.1922E+00	3.1512E+00	3.1992E+00	3.2656E+00	3.1564E+00	3.2182E+00	3.2559E+00	3.2353E+00	3.5380E+00	3.2918E+00	3.5407E+00	3.1550E+00	3.4501E+00	3.1709E+00	2.9892E+00	3.1497E+00	3.0874E+00
3.0016E+00	3.0900E+00	3.1556E+00	3.1613E+00	3.2240E+00	3.2806E+00	3.1523E+00	3.1838E+00	3.2502E+00	3.2287E+00	3.5452E+00	3.2592E+00	3.5242E+00	3.2482E+00	3.4633E+00	3.1581E+00	3.0546E+00	3.1538E+00	3.1229E+00
2.9184E+00	3.0942E+00	3.0785E+00	3.1860E+00	3.2452E+00	3.2930E+00	3.1558E+00	3.1755E+00	3.2517E+00	3.2294E+00	3.5625E+00	3.2419E+00	3.4941E+00	3.3762E+00	3.4834E+00	3.1810E+00	3.0809E+00	3.1605E+00	3.1472E+00
2.8881E+00	3.1151E+00	2.9964E+00	3.2229E+00	3.2513E+00	3.3062E+00	3.1586E+00	3.1546E+00	3.2516E+00	3.2281E+00	3.5231E+00	3.2509E+00	3.4994E+00	3.4813E+00	3.4758E+00	3.2030E+00	3.0193E+00	3.1689E+00	3.1645E+00
2.8954E+00	3.1388E+00	3.0010E+00	3.2539E+00	3.2475E+00	3.3168E+00	3.1563E+00	3.1566E+00	3.2465E+00	3.2219E+00	3.4558E+00	3.2787E+00	3.5382E+00	3.5118E+00	3.4390E+00	3.2034E+00	2.9468E+00	3.1751E+00	3.1730E+00
2.9102E+00	3.1531E+00	3.0104E+00	3.2767E+00	3.2444E+00	3.3262E+00	3.1565E+00	3.1600E+00	3.2445E+00	3.2188E+00	3.4058E+00	3.3088E+00	3.5786E+00	3.4768E+00	3.4224E+00	3.2035E+00	2.9137E+00	3.1797E+00	3.1788E+00
2.9519E+00	3.1665E+00	3.0275E+00	3.3122E+00	3.2462E+00	3.3467E+00	3.1665E+00	3.2032E+00	3.2509E+00	3.2220E+00	3.3332E+00	3.3551E+00	3.6320E+00	3.4364E+00	3.4553E+00	3.2036E+00	2.9351E+00	3.1868E+00	3.1859E+00
3.0202E+00	3.1985E+00	3.0623E+00	3.3513E+00	3.2643E+00	3.3602E+00	3.1780E+00	3.2162E+00	3.2586E+00	3.2308E+00	3.3181E+00	3.3833E+00	3.6468E+00	3.3934E+00	3.5045E+00	3.2188E+00	3.0205E+00	3.1967E+00	3.1957E+00
3.1312E+00	3.2485E+00	3.0884E+00	3.3856E+00	3.2823E+00	3.3841E+00	3.1881E+00	3.2308E+00	3.2648E+00	3.2366E+00	3.3844E+00	3.4102E+00	3.6272E+00	3.3071E+00	3.5604E+00	3.2387E+00	3.1147E+00	3.2106E+00	3.2089E+00
3.2424E+00	3.2946E+00	3.1255E+00	3.4029E+00	3.3077E+00	3.4485E+00	3.2085E+00	3.2661E+00	3.2840E+00	3.2511E+00	3.4880E+00	3.4345E+00	3.6198E+00	3.2080E+00	3.5731E+00	3.2006E+00	3.1931E+00	3.2270E+00	3.2192E+00
3.3253E+00	3.3200E+00	3.1741E+00	3.4368E+00	3.3349E+00	3.4687E+00	3.2347E+00	3.3122E+00	3.3077E+00	3.2728E+00	3.5827E+00	3.4519E+00	3.6150E+00	3.2382E+00	3.5552E+00	3.1605E+00	3.2496E+00	3.2451E+00	3.2273E+00
3.3932E+00	3.3467E+00	3.2108E+00	3.4977E+00	3.3694E+00	3.4872E+00	3.2581E+00	3.3513E+00	3.3326E+00	3.2957E+00	3.6341E+00	3.4672E+00	3.6368E+00	3.3180E+00	3.5656E+00	3.1808E+00	3.3125E+00	3.2650E+00	3.2386E+00
3.4531E+00	3.3740E+00	3.2455E+00	3.5319E+00	3.4053E+00	3.5138E+00	3.2802E+00	3.3899E+00	3.3577E+00	3.3194E+00	3.6670E+00	3.4846E+00	3.6675E+00	3.3876E+00	3.5917E+00	3.2159E+00	3.3759E+00	3.2849E+00	3.2514E+00
3.5186E+00	3.3992E+00	3.3053E+00	3.5835E+00	3.4486E+00	3.5592E+00	3.3223E+00	3.4475E+00	3.4048E+00	3.3637E+00	3.7070E+00	3.5026E+00	3.6938E+00	3.4661E+00	3.6345E+00	3.2659E+00	3.4297E+00	3.3155E+00	3.2735E+00
3.5795E+00	3.4252E+00	3.3790E+00	3.6464E+00	3.5042E+00	3.6197E+00	3.3812E+00	3.5229E+00	3.4736E+00	3.4295E+00	3.7537E+00	3.5455E+00	3.7180E+00	3.5452E+00	3.6940E+00	3.3267E+00	3.4782E+00	3.3604E+00	3.3033E+00
3.6481E+00	3.4550E+00	3.4561E+00	3.6995E+00	3.5518E+00	3.6678E+00	3.4360E+00	3.6055E+00	3.5443E+00	3.4979E+00	3.7947E+00	3.6119E+00	3.7484E+00	3.6227E+00	3.7561E+00	3.3816E+00	3.5341E+00	3.4061E+00	3.3330E+00
3.7101E+00	3.4780E+00	3.5169E+00	3.7301E+00	3.5838E+00	3.7015E+00	3.4718E+00	3.6687E+00	3.5924E+00	3.5433E+00	3.8247E+00	3.6660E+00	3.7674E+00	3.6618E+00	3.8053E+00	3.4192E+00	3.5656E+00	3.4415E+00	3.3585E+00
3.7360E+00	3.4930E+00	3.5663E+00	3.7485E+00	3.6068E+00	3.7247E+00	3.4956E+00	3.7114E+00	3.6227E+00	3.5723E+00	3.8464E+00	3.7032E+00	3.7809E+00	3.6785E+00	3.8390E+00	3.4429E+00	3.5833E+00	3.4678E+00	3.3758E+00
3.7330E+00	3.5084E+00	3.6135E+00	3.7592E+00	3.6360E+00	3.7433E+00	3.5188E+00	3.7470E+00	3.6543E+00	3.6027E+00	3.8702E+00	3.7397E+00	3.7930E+00	3.6878E+00	3.8609E+00	3.4660E+00	3.5988E+00	3.4939E+00	3.3912E+00
3.7289E+00	3.5182E+00	3.6634E+00	3.7607E+00	3.6624E+00	3.7562E+00	3.5412E+00	3.7715E+00	3.6879E+00	3.6349E+00	3.8898E+00	3.7696E+00	3.8020E+00	3.6850E+00	3.8677E+00	3.4887E+00	3.6066E+00	3.5189E+00	3.4043E+00
