Time (d),Pu240
0.0,0.0
10.0,9.502569660366138
20.0,64.1887462883157
30.0,195.28052276842504
40.0,430.68899776033345
50.0,796.408089217342
60.0,1316.6549089496698
70.0,2013.9464622190883
80.0,2909.1757203528286
90.0,4021.6728010186534
100.0,5369.271384587336
110.0,6968.37552601281
120.0,8834.01913745096
130.0,10979.92306062418
140.0,13418.553600276646
150.0,16161.178570753726
160.0,19217.921110028678
170.0,22597.811206985356
180.0,22597.81122057495
190.0,22597.811221752312
200.0,22597.811222974135
210.0,22597.811224240417
220.0,22597.811225551162
230.0,22597.811226906368
240.0,372151.972638818
250.0,388130.18325437664
260.0,404237.76534308743
270.0,420471.55712524656
280.0,436829.4109395291
290.0,453308.70733905333
300.0,469906.35509138106
310.0,486620.2524258049
320.0,503451.19452452275
330.0,520392.7651171616
340.0,537441.0565267602
350.0,554591.7913873267
360.0,571840.322643838
370.0,589183.8627624402
380.0,606620.5103659959
390.0,624144.1625159715
400.0,641750.2885067264
410.0,659434.1725798502
420.0,659434.1727289361
430.0,659434.1727343051
440.0,659434.172739759
450.0,659434.1727452973
460.0,659434.1727509203
470.0,659434.1727566281
480.0,2353019.2748684557
490.0,2372040.6846705894
500.0,2390559.4259737507
510.0,2408609.4100163137
520.0,2426197.6947896234
530.0,2443331.039597787
540.0,2460015.905057668
550.0,2476258.4530988904
560.0,2492064.546963836
570.0,2507439.751207648
580.0,2522403.59417514
590.0,2536955.001866908
600.0,2551098.8926788857
610.0,2564841.1123827496
620.0,2578187.311450813
630.0,2591142.94505603
640.0,2603713.2730719917
650.0,2615903.3600729303
660.0,2615903.3603116972
670.0,2615903.3603177685
680.0,2615903.360323913
690.0,2615903.3603301304
700.0,2615903.3603364215
710.0,2615903.3603427857
720.0,2615903.360349223
